seller_id,total_orders,delayed_orders,delay_rate
54965bbe3e4f07ae045b90b0b8541f52,73,26,0.3562
2a261b5b644fa05f4f2700eb93544f2c,51,18,0.3529
6039e27294dc75811c0d8a39069f52c0,63,19,0.3016
bbad7e518d7af88a0897397ffdca1979,68,19,0.2794
a49928bcdf77c55c6d6e05e09a9b4ca5,96,26,0.2708
cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,19,0.2568
beadbee30901a7f61d031b6b686095ad,64,16,0.2500
06a2c3af7b3aee5d69171b0e14f0ee87,389,95,0.2442
88460e8ebdecbfecb5f9601833981930,246,59,0.2398
11bfa66332777660bd0640ee84d47006,76,18,0.2368
