order_month,total_orders,delayed_orders,delay_rate
2016-10,265,3,0.0113
2017-01,750,23,0.0307
2017-02,1653,53,0.0321
2017-03,2546,142,0.0558
2017-04,2303,181,0.0786
2017-05,3545,128,0.0361
2017-06,3135,121,0.0386
2017-07,3872,133,0.0343
2017-08,4193,139,0.0332
2017-09,4150,216,0.0520
2017-10,4478,237,0.0529
2017-11,7288,1043,0.1431
2017-12,5513,462,0.0838
2018-01,7069,464,0.0656
2018-02,6555,1048,0.1599
2018-03,7003,1496,0.2136
2018-04,6798,361,0.0531
2018-05,6749,556,0.0824
2018-06,6096,83,0.0136
2018-07,6156,276,0.0448
2018-08,6351,660,0.1039
